"NIT","RAZÓN SOCIAL","SUPERVISOR","REGIÓN","DEPARTAMENTO DOMICILIO","CIUDAD DOMICILIO","CIIU","MACROSECTOR","INGRESOS OPERACIONALES","GANANCIA (PÉRDIDA)","TOTAL ACTIVOS","TOTAL PASIVOS","TOTAL PATRIMONIO","Año de Corte"
"816,001,182","AUDIFARMA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,645","COMERCIO","$3.50","$0.05","$2.40","$2.20","$0.20","2,022"
"891,410,137","SUZUKI MOTOR DE COLOMBIA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","3,091","MANUFACTURA","$0.99","$0.06","$0.75","$0.20","$0.55","2,022"
"891,400,378","PAPELES NACIONALES S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,709","MANUFACTURA","$0.85","$0.00","$0.80","$0.54","$0.26","2,022"
"891,408,584","FRISBY S.A. BIC","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","5,612","SERVICIOS","$0.71","$0.04","$0.42","$0.35","$0.07","2,022"
"891,401,705","INGENIO RISARALDA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,071","MANUFACTURA","$0.53","$0.05","$0.56","$0.33","$0.23","2,022"
"900,737,989","BEMOVIL S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,190","SERVICIOS","$0.42","$0.00","$0.01","$0.01","$0.00","2,022"
"900,616,155","SUPER PAGOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,311","SERVICIOS","$0.40","$0.00","$0.03","$0.02","$0.01","2,022"
"900,103,833","CI METALES LA UNION S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,665","COMERCIO","$0.38","$0.01","$0.06","$0.06","$0.00","2,022"
"800,121,199","HIERROS HB S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.37","$0.02","$0.11","$0.08","$0.03","2,022"
"900,481,902","COMERCIALIZADORA FRESMAR S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,631","COMERCIO","$0.37","$0.01","$0.08","$0.05","$0.03","2,022"
"901,248,010","COFFEENAR S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","SANTA ROSA DE CABAL","4,620","COMERCIO","$0.32","$0.00","$0.03","$0.03","$0.00","2,022"
"900,579,611","CONSUMER ELECTRONICS GROUP S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,640","MANUFACTURA","$0.25","$0.00","$0.20","$0.17","$0.02","2,022"
"900,342,064","SOCIEDAD COMERCIALIZADORA DE INSUMOS Y SERVICIOS MÉDICOS S.A.S.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,610","SERVICIOS","$0.25","-$0.05","$0.34","$0.18","$0.15","2,022"
"816,006,799","BUSSCAR DE COLOMBIA S.A.S. EN REORGANIZACION","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,920","MANUFACTURA","$0.25","-$0.01","$0.20","$0.15","$0.05","2,022"
"891,401,711","INDUSTRIAS ELECTROMECANICAS MAGNETRON S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","2,711","MANUFACTURA","$0.24","$0.02","$0.26","$0.19","$0.07","2,022"
"900,448,470","HIERROS DE OCCIDENTE FERRETERIAS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.23","$0.01","$0.06","$0.05","$0.01","2,022"
"891,409,291","EVE DISTRIBUCIONES S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,645","COMERCIO","$0.22","$0.01","$0.31","$0.10","$0.21","2,022"
"891,410,182","CAFE Y COMPAÑIA S.A.S. CAFE&CO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,062","MANUFACTURA","$0.21","$0.01","$0.05","$0.02","$0.03","2,022"
"891,480,000","CAJA DE COMPENSACION FAMILIAR DE RISARALDA COMFAMILIAR RISARALDA","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,699","SERVICIOS","$0.20","-$0.01","$0.15","$0.06","$0.09","2,022"
"800,128,680","REENCAFE S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,530","COMERCIO","$0.20","$0.01","$0.10","$0.05","$0.05","2,022"
"816,003,186","COMERCIALIZADORA HOMAZ S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,511","COMERCIO","$0.19","$0.00","$0.10","$0.05","$0.05","2,022"
"900,799,976","AVOFRUIT S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,631","COMERCIO","$0.19","-$0.00","$0.16","$0.16","$0.00","2,022"
"800,231,235","EMPRESA SOCIAL DEL ESTADO HOSPITAL UNIVERSITARIO SAN JORGE","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,610","SERVICIOS","$0.19","$0.01","$0.26","$0.10","$0.16","2,022"
"891,400,754","C Y P DEL R S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,709","MANUFACTURA","$0.19","$0.01","$0.20","$0.14","$0.07","2,022"
"900,464,876","ALTAMIRA SUPREMO S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,061","MANUFACTURA","$0.16","-$0.00","$0.03","$0.02","$0.01","2,022"
"800,037,835","COMERCIALIZADORA LA BONANZA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,711","COMERCIO","$0.16","$0.01","$0.03","$0.01","$0.02","2,022"
"819,006,966","MEDIA COMMERCE PARTNERS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","6,110","SERVICIOS","$0.16","$0.01","$0.29","$0.20","$0.09","2,022"
"900,131,529","INDUSTRIAS TOMY S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,081","MANUFACTURA","$0.16","$0.02","$0.03","$0.02","$0.01","2,022"
"900,816,822","ACCEDO COLOMBIA S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","8,220","SERVICIOS","$0.16","$0.00","$0.07","$0.05","$0.02","2,022"
"900,562,939","INVERCAFE CERRITOS S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,061","MANUFACTURA","$0.15","$0.00","$0.02","$0.02","$0.00","2,022"
"800,122,420","COYTEX S.A.S.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,410","MANUFACTURA","$0.14","-$0.00","$0.11","$0.11","$0.00","2,022"
"800,115,720","RG DISTRIBUCIONES S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","4,663","COMERCIO","$0.13","$0.00","$0.05","$0.02","$0.03","2,022"
"860,008,386","INDUSTRIA MOLINERA DE CALDAS S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","DOSQUEBRADAS","1,051","MANUFACTURA","$0.13","$0.00","$0.09","$0.05","$0.04","2,022"
"890,900,265","COATS CADENA ANDINA S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","1,311","MANUFACTURA","$0.12","$0.02","$0.07","$0.03","$0.03","2,022"
"816,007,754","EMPRENDER S.A.","SUPERSOCIEDADES","EJE CAFETERO","RISARALDA","PEREIRA","4,711","COMERCIO","$0.11","$0.00","$0.04","$0.02","$0.02","2,022"
"891,409,981","CLINICA LOS ROSALES S.A.","SUPERSALUD","EJE CAFETERO","RISARALDA","PEREIRA","8,610","SERVICIOS","$0.11","-$0.03","$0.14","$0.13","$0.01","2,022"
